SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2024-09-09,3,2024-09-09T00:00:00Z,2024-09-10T00:44:18Z,45.320000000000000284,45.320000000000000284,False,N,0.000000000000000000,-140.641666666666679930,0.00,0.00,,,1148.000000000000000000,-1051.141666666666651508,-350.000000000000000000,112.500000000000000000,1148.000000000000000000,-1051.141666666666651508,-349.000000000000000000,112.500000000000000000
2024-09-09,4,2024-09-09T00:30:00Z,2024-09-10T01:14:22Z,60.119999999999997442,60.119999999999997442,False,N,0.000000000000000000,-5.233333333333333393,0.00,0.00,,,1148.000000000000000000,-915.741666666666674246,-350.000000000000000000,112.500000000000000000,1148.000000000000000000,-915.741666666666674246,-349.000000000000000000,112.500000000000000000
2024-09-09,5,2024-09-09T01:00:00Z,2024-09-10T01:44:20Z,102.500000000000000000,102.500000000000000000,False,P,0.000000000000000000,19.522222222222222143,0.00,0.00,,,1148.000000000000000000,-940.977777777777760093,-300.000000000000000000,112.500000000000000000,1147.000000000000000000,-940.977777777777760093,-300.000000000000000000,112.500000000000000000
2024-09-09,6,2024-09-09T01:30:00Z,2024-09-10T02:14:30Z,49.439999999999997726,49.439999999999997726,False,N,0.000000000000000000,-87.358333333333334281,0.00,0.00,,,1148.000000000000000000,-1047.897222222222126220,-300.000000000000000000,112.500000000000000000,1148.000000000000000000,-1047.897222222222126220,-299.000000000000000000,112.500000000000000000
2024-09-09,7,2024-09-09T02:00:00Z,2024-09-10T02:44:17Z,104.000000000000000000,104.000000000000000000,False,P,0.000000000000000000,263.658333333333359860,0.00,0.00,,,1148.000000000000000000,-997.174999999999954525,0.000000000000000000,112.500000000000000000,1147.000000000000000000,-997.174999999999954525,,112.500000000000000000
2024-09-09,8,2024-09-09T02:30:00Z,2024-09-10T03:14:22Z,102.500000000000000000,102.500000000000000000,False,P,0.000000000000000000,77.304248333333333676,0.00,0.00,,,1148.000000000000000000,-1183.643337083333335613,0.000000000000000000,112.500000000000000000,1147.000000000000000000,-1183.643337083333335613,,112.500000000000000000
2024-09-09,9,2024-09-09T03:00:00Z,2024-09-10T03:44:20Z,53.969999999999998863,53.969999999999998863,False,N,0.000000000000000000,-19.866663611111111010,0.00,0.00,,,1148.000000000000000000,-1130.541663611111061982,-150.000000000000000000,112.500000000000000000,1148.000000000000000000,-1130.541663611111061982,-149.000000000000000000,112.500000000000000000
2024-09-09,10,2024-09-09T03:30:00Z,2024-09-10T04:14:22Z,53.969999999999998863,53.969999999999998863,False,N,0.000000000000000000,-20.398333333333333428,0.00,0.00,,,1145.000000000000000000,-1127.898333333333312112,-150.000000000000000000,112.500000000000000000,1145.000000000000000000,-1127.898333333333312112,-149.000000000000000000,112.500000000000000000
2024-09-09,11,2024-09-09T04:00:00Z,2024-09-10T04:44:23Z,52.119999999999997442,52.119999999999997442,False,N,0.000000000000000000,-194.164285714285711038,0.00,0.00,,,981.250000000000000000,-1088.068452380952294334,-200.000000000000000000,112.500000000000000000,981.250000000000000000,-1088.068452380952294334,-199.000000000000000000,112.500000000000000000
2024-09-09,12,2024-09-09T04:30:00Z,2024-09-10T05:14:19Z,52.450000000000002842,52.450000000000002842,False,N,0.000000000000000000,-134.270263373015865227,0.00,0.00,,,656.256668750000017099,-703.026906468253969251,-200.000000000000000000,112.500000000000000000,656.256668750000017099,-703.026906468253969251,-199.000000000000000000,112.500000000000000000
2024-09-09,13,2024-09-09T05:00:00Z,2024-09-10T05:44:18Z,103.000000000000000000,103.000000000000000000,False,P,0.000000000000000000,16.609027777777779278,0.00,0.00,,,561.326547619047573789,-578.248472222222176242,0.000000000000000000,33.750000000000000000,560.326547619047573789,-578.248472222222176242,,33.750000000000000000
2024-09-09,14,2024-09-09T05:30:00Z,2024-09-10T06:14:22Z,58.000000000000000000,58.000000000000000000,False,N,0.000000000000000000,-45.141107638888890108,0.00,0.00,,,599.441666666666719721,-665.694440972222196251,0.000000000000000000,20.920000000000001705,599.441666666666719721,-664.694440972222196251,,20.920000000000001705
2024-09-09,15,2024-09-09T06:00:00Z,2024-09-10T06:44:23Z,65.010000000000005116,65.010000000000005116,False,N,0.000000000000000000,-5.147041666666666515,0.00,0.00,65.010000000000005116,1.000000000000000000,238.464522187499994743,-377.356932797619037956,0.000000000000000000,133.903999999999996362,238.464522187499994743,-376.356932797619037956,,133.903999999999996362
2024-09-09,16,2024-09-09T06:30:00Z,2024-09-10T07:14:21Z,119.480000000000003979,119.480000000000003979,False,P,0.000000000000000000,263.008544444444453347,0.00,0.00,,,403.150211111111104856,-265.910212500000000091,0.000000000000000000,125.724999999999994316,402.150211111111104856,-265.910212500000000091,,125.724999999999994316
2024-09-09,17,2024-09-09T07:00:00Z,2024-09-10T07:44:18Z,125.150000000000005684,125.150000000000005684,False,P,0.000000000000000000,543.273913955176794843,0.00,0.00,,,740.753674907557751794,-197.809043749895351993,0.000000000000000000,0.000000000000000000,739.753674907557751794,-197.809043749895351993,,
